book_id,title,author_id,price,stock
1,Безопасная и национальная кодировка,4,317.51,22
2,Интегрированное и составное сотрудничество,8,456.25,11
3,Сетевой и промежуточный алгоритм,18,360.86,32
4,Автоматизированное и переходное решение,2,320.86,18
5,Общедоступный и региональный инфопосредник,8,653.75,6
6,Стратегический и локальный портал,18,439.19,46
7,Многоканальный и круглосуточный анализатор,18,593.66,33
8,Сбалансированное и инструктивное приложение,19,494.73,5
9,Переработанная и динамичная возможность,6,788.7,26
10,Взаимовыгодное и нестандартное сотрудничество,9,408.84,26
11,Переработанная и бездефектная модель,4,364.92,11
12,Объектная и круглосуточная методология,12,893.25,43
13,Функциональная и наглядная фокус-группа,9,864.99,34
14,Уменьшенная и локальная проекция,18,387.38,29
15,Ассимилированный и направленный графический интерфейс пользователя,3,686.43,45
16,Делегируемая и гибридная служба техподдержки,20,919.82,28
17,Функциональный и нейтральный прогноз,19,434.6,9
18,Виртуальное и раздвоенное хранилище данных,2,762.88,23
19,Универсальное и асинхронное совершенствование процесса,3,898.72,11
20,Распределённый и методичный анализатор,13,494.58,45
21,Прогрессивная и гибридная инфраструктура,12,413.86,27
22,Переосмысленная и заметная ценовая структура,7,769.12,49
23,Улучшенное и гибридное определение,3,726.39,15
24,Многослойный и объектно-ориентированный эталон,18,810.39,15
25,Реализованная и масштабируемая миграция,15,565.62,45
26,Прогрессивная и экоцентричная структура,18,453.73,25
27,Улучшенная и максимальная иерархия,2,460.33,7
28,Интуитивный и аналитический адаптер,11,580.82,9
29,Общедоступный и круглосуточный доступ,7,939.2,41
30,Автоматизированная и приоритетная политика,11,448.84,36
31,Открытое и нестандартное решение,13,919.28,46
32,Децентрализованная и приоритетная кодировка,15,400.01,13
33,Органичная и энергонезависимая проекция,8,821.49,39
34,Корпоративная и потенциальная иерархия,9,822.91,32
35,Совместимый и веб-ориентированный массив,19,579.58,19
36,Оцифрованное и клиент-серверное шифрование,5,656.67,10
37,Бизнес-ориентированная и итернациональная инициатива,2,902.77,14
38,Оптимизированный и переходный искусственный интеллект,6,854.46,32
39,Универсальная и гибридная кодировка,20,344.47,29
40,Контролируемый и промежуточный ресурс,20,997.28,38
41,Сокращенная и объектно-ориентированная возможность,9,979.75,5
42,Виртуальное и приоритетное взаимодействие,4,777.2,39
43,Взаимовыгодная и ультрасовременная инфраструктура,9,838.02,26
44,Увеличенная и составная ценовая структура,4,505.45,15
45,Элегантная и последовательная рабочая группа,15,302.27,21
46,Удобный и методичный протокол,17,833.37,37
47,Поэтапная и гибридная фокус-группа,4,909.36,24
48,Программируемая и основная поддержка,17,726.28,14
49,Прогрессивный и многозадачный эталон,12,833.76,39
50,Поэтапный и масштабируемый параллелизм,17,942.95,43
51,Стабильный и интерактивный альянс,11,642.02,12
52,Новая и объектно-ориентированная инфраструктура,12,915.11,24
53,Амортизированная и объектно-ориентированная стратегия,8,340.55,41
54,Взаимовыгодная и асинхронная иерархия,3,359.96,36
55,Программируемый и действенный инфопосредник,3,984.59,39
56,Улучшенная и контекстуальная рабочая группа,5,389.87,35
57,Реализованный и асинхронный успех,18,415.59,38
58,Концептуальное и вторичное хранилище данных,20,596.2,18
59,Горизонтальный и приоритетный фреймворк,18,828.69,49
60,Инверсная и бескомпромиссная суперструктура,7,799.06,30
61,Амортизированный и мобильный графический интерфейс,12,606.67,38
62,Эксклюзивная и приоритетная поддержка,15,384.7,19
63,Общедоступная и бескомпромиссная ценовая структура,3,536.66,42
64,Прогрессивный и модульный адаптер,18,461.08,19
65,Разнообразная и заметная прошивка,1,349.7,45
66,Автономное и экоцентричное хранилище данных,2,460.26,7
67,Многослойная и нестандартная концепция,11,349.6,20
68,Сосредоточенная и единообразная кодировка,9,768.28,18
69,Инновационная и региональная функциональность,18,392.62,41
70,Программируемый и потенциальный хаб,19,630.87,35
71,Автоматизированный и потенциальный инструментарий,14,433.29,11
72,Корпоративная и исполнительная функциональность,14,548.01,31
73,Реконструируемая и пошаговая иерархия,15,904.69,8
74,Взаимовыгодная и итернациональная методология,4,342.43,26
75,Органичный и модульный графический интерфейс пользователя,4,474.06,17
76,Фундаментальная и методичная эмуляция,18,614.03,32
77,Переключаемое и национальное сотрудничество,6,494.98,20
78,Оперативная и целостная вероятность,3,610.19,40
79,Автономная и отказостойкая гибкость,4,335.41,39
80,Переключаемое и оптимальное межплатформенное программное обеспечение,1,978.3,20
81,Управляемая и контекстуальная сеть Экстранет,6,584.49,35
82,Прочная и мультимедийная методология,7,905.26,8
83,Программируемый и высокоуровневый веб-сайт,6,565.28,29
84,Виртуальное и круглосуточное приложение,9,948.56,34
85,Централизованная и асимметричная структура,10,596.11,40
86,Функциональная и веб-ориентированная способность,16,408.36,23
87,Качественный и максимальный массив,7,978.1,42
88,Полная и вторичная служба поддержки,18,342.67,25
89,Улучшенная и основная прошивка,2,335.1,35
90,Корпоративная и основная архитектура,17,943.57,38
91,Многослойная и оптимальная нейронная сеть,6,339.82,37
92,Удобный и широкий графический интерфейс,3,895.94,9
93,Управляемый и бездефектный вызов,20,347.57,20
94,Реализованное и инструктивное межплатформенное программное обеспечение,13,383.92,41
95,Многогранная и третичная матрица,8,705.24,7
96,Дублируемый и третичный инфопосредник,20,357.39,47
97,Качественная и глобальная реализация,19,695.66,25
98,Устойчивая и целостная фокус-группа,9,442.98,50
99,Опциональная и объектно-ориентированная способность,11,467.08,30
100,Оптимизированное и контекстуальное взаимодействие,5,770.18,24
101,Многогранная и энергонезависимая методология,15,521.32,9
102,Амортизированная и региональная матрица,1,620.8,41
103,Многослойная и прибыльная стратегия,4,351.28,18
104,Децентрализованный и систематический анализатор,17,485.64,27
105,Совместимая и единообразная суперструктура,3,915.49,28
106,Управляемое и прибыльное оборудование,10,410.42,39
107,Качественный и пошаговый инфопосредник,10,728.17,46
108,Многогранная и связная стратегия,17,305.48,40
109,Глубокий и исполнительный эталон,10,952.23,11
110,Цельная и прибыльная гибкость,5,485.13,11
111,Перспективная и мультимедийная сеть Экстранет,18,408.81,23
112,Настраиваемый и отказостойкий проект,20,447.44,26
113,Опциональная и нестандартная база данных,7,781.25,21
114,Амортизированный и максимальный адаптер,17,641.97,8
115,Стратегическая и социальная политика,3,744.0,22
116,Цельный и приоритетный мониторинг,2,302.48,13
117,Кросс-платформенный и аналитический мониторинг,9,413.11,33
118,Управляемая и нейтральная методология,18,793.97,40
119,Клиент-ориентированная и мультимедийная стандартизация,1,378.31,49
120,Централизованное и локальное групповое программное обеспечение,5,681.91,28
121,Автономная и логистическая политика,19,686.77,32
122,Глубокая и нейтральная служба поддержки,5,329.28,28
123,Контролируемый и статический инфопосредник,2,929.25,18
124,Программируемое и специализированное ядро,8,766.85,27
125,Эргономичная и направленная установка,18,918.89,31
126,Функциональная и основная миграция,20,824.63,20
127,Сбалансированная и прибыльная способность,6,983.34,16
128,Концептуальный и клиент-серверный алгоритм,14,317.35,26
129,Реализованное и региональное оборудование,14,861.56,20
130,Межгрупповое и региональное интернет-решение,9,411.44,49
131,Многослойная и направленная конгломерация,4,567.78,7
132,Обязательная и раздвоенная служба техподдержки,16,455.7,34
133,Оцифрованная и асимметричная структура,12,513.63,19
134,Интегрированная и итернациональная база данных,8,316.57,17
135,Совместимая и наглядная миграция,13,529.78,9
136,Стабильное и круглосуточное программное обеспечение,9,545.8,37
137,Фундаментальное и прибыльное управление бюджетом,13,775.66,39
138,Прочный и исполнительный графический интерфейс,11,957.47,12
139,Объектный и асинхронный инфопосредник,9,425.0,21
140,Кросс-платформенная и широкопрофильная парадигма,2,375.88,32
141,Автономное и объектно-ориентированное взаимодействие,12,809.98,25
142,Опциональная и однородная сеть Экстранет,14,724.35,37
143,Переключаемая и однородная концепция,4,569.64,41
144,Сетевая и интерактивная вероятность,7,478.31,50
145,Оперативный и раздвоенный модератор,14,301.18,39
146,Превентивная и системная локальная сеть,7,554.96,9
147,Автономная и мультимедийная нейронная сеть,11,736.21,47
148,Инновационное и объектно-ориентированное групповое программное обеспечение,4,803.83,24
149,Централизованное и веб-ориентированное сотрудничество,17,516.5,31
150,Адаптивное и гибридное приложение,11,581.68,23
151,Кросс-платформенная и экоцентричная сеть Экстранет,18,389.1,31
152,Функциональное и статическое интернет-решение,13,774.12,16
153,Виртуальная и гибридная инициатива,20,698.37,30
154,Поэтапное и вторичное программное обеспечение,18,883.61,24
155,Дублируемая и заметная миграция,10,447.13,42
156,Модернизируемый и третичный протокол,20,758.29,34
157,Переосмысленный и асинхронный портал,15,609.51,18
158,Делегируемый и оптимальный протокол,17,631.23,15
159,Цельная и широкопрофильная стратегия,3,498.65,47
160,Перспективная и связная архитектура,20,534.63,20
161,Многогранный и максимальный графический интерфейс,10,457.25,17
162,Прочная и оптимальная служба техподдержки,5,317.1,20
163,Эксклюзивная и круглосуточная функция,16,727.89,9
164,Реконструируемый и однородный графический интерфейс,15,590.11,45
165,Качественный и бескомпромиссный системный движок,19,436.1,49
166,Реализованная и переходная база знаний,13,646.06,20
167,Дублируемый и радикальный протокол,5,759.24,5
168,Поэтапная и инструктивная кодировка,4,844.89,19
169,Объектная и составная миграция,6,862.88,49
170,Инверсное и третичное групповое программное обеспечение,17,625.18,40
171,Сокращенное и модульное сотрудничество,8,942.23,12
172,Дублируемое и прибыльное межплатформенное программное обеспечение,15,393.34,34
173,Устойчивое и наглядное хранилище данных,17,991.52,43
174,Бизнес-ориентированное и логистическое использование,11,965.03,33
175,Функциональная и бескомпромиссная функция,20,870.5,37
176,Универсальный и широкий хаб,14,881.4,40
177,Дублируемое и прибыльное управление бюджетом,15,928.05,35
178,Распределённое и основное определение,15,481.43,20
179,Децентрализованное и гибридное межплатформенное программное обеспечение,9,836.07,38
180,Функциональная и нейтральная инициатива,16,738.72,22
181,Превентивное и инструктивное шифрование,15,354.24,23
182,Оптимизированная и яркая иерархия,8,490.2,25
183,Централизованная и прибыльная локальная сеть,18,356.4,14
184,Прогрессивная и интерактивная координация,8,568.12,14
185,Контролируемая и региональная миграция,7,344.96,31
186,Ориентированный и вторичный прогноз,11,679.83,31
187,Бизнес-ориентированная и широкая фокус-группа,2,444.78,31
188,Фундаментальная и заметная производительность,13,933.39,42
189,Синхронизированная и переходная концепция,1,899.71,41
190,Безопасная и заметная координация,13,633.89,27
191,Амортизированная и исполнительная политика,10,827.43,31
192,Перспективная и высокоуровневая рабочая группа,18,823.26,39
193,Улучшенный и составной системный движок,20,928.47,36
194,Инверсная и статическая методология,8,491.05,36
195,Синхронизированная и масштабируемая инициатива,1,572.2,47
196,Увеличенная и направленная рабочая группа,13,806.93,34
197,Полная и системная структура,5,986.51,39
198,Переключаемая и гибридная парадигма,1,934.85,42
199,Концептуальная и переходная кодировка,19,764.1,10
200,Открытая и яркая база данных,14,394.99,34
